sample,modality,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,aligned_time,time,condition,batch,is_interpolated
10,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
11,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
12,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
13,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
14,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
15,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
16,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
17,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
18,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
19,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
20,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
21,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
22,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
23,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
24,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
25,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
26,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
27,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
28,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
29,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
30,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
31,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
32,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
33,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
34,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
35,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
36,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
37,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
38,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
39,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
40,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
41,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
42,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
43,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
44,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
45,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
46,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
47,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
48,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
49,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
50,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
51,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
52,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
53,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
54,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
55,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
56,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
57,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
58,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
59,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
60,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
61,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
62,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
63,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
64,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
65,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
66,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
67,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
68,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
69,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
70,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
71,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
72,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
73,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
74,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
75,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
76,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
77,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
78,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
79,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
80,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
81,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
82,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
83,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
84,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
85,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
86,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
87,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
88,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
89,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
90,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
91,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v2,False
92,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
93,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
94,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
95,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
96,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
97,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v1,False
98,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
99,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
